state,type,crimes,Year
Johor,causing_injury,39,2021
Johor,causing_injury,29,2022
Johor,causing_injury,21,2023
Johor,murder,4,2016
Johor,murder,1,2017
Johor,murder,1,2018
Johor,murder,4,2019
Johor,murder,2,2020
Johor,murder,3,2021
Johor,murder,1,2022
Johor,murder,4,2023
Johor,rape,37,2016
Johor,rape,24,2017
Johor,rape,18,2018
Johor,rape,17,2019
Johor,rape,16,2020
Johor,rape,12,2021
Johor,rape,9,2022
Johor,rape,14,2023
Johor,robbery_gang_armed,2,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,0,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,47,2016
Johor,robbery_gang_unarmed,32,2017
Johor,robbery_gang_unarmed,34,2018
Johor,robbery_gang_unarmed,35,2019
Johor,robbery_gang_unarmed,14,2020
Johor,robbery_gang_unarmed,15,2021
Johor,robbery_gang_unarmed,16,2022
Johor,robbery_gang_unarmed,27,2023
Johor,robbery_solo_armed,0,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,0,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,8,2016
Johor,robbery_solo_unarmed,15,2017
Johor,robbery_solo_unarmed,15,2018
Johor,robbery_solo_unarmed,11,2019
Johor,robbery_solo_unarmed,38,2020
Johor,robbery_solo_unarmed,11,2021
Johor,robbery_solo_unarmed,11,2022
Johor,robbery_solo_unarmed,4,2023
Johor,break_in,41,2016
Johor,break_in,29,2017
Johor,break_in,28,2018
Johor,break_in,56,2019
Johor,break_in,81,2020
Johor,break_in,62,2021
Johor,break_in,30,2022
Johor,break_in,81,2023
Johor,theft_other,147,2016
Johor,theft_other,105,2017
Johor,theft_other,116,2018
Johor,theft_other,114,2019
Johor,theft_other,98,2020
Johor,theft_other,77,2021
Johor,theft_other,71,2022
Johor,theft_other,90,2023
Johor,theft_vehicle_lorry,11,2016
Johor,theft_vehicle_lorry,15,2017
Johor,theft_vehicle_lorry,31,2018
Johor,theft_vehicle_lorry,12,2019
Johor,theft_vehicle_lorry,12,2020
Johor,theft_vehicle_lorry,2,2021
Johor,theft_vehicle_lorry,4,2022
Johor,theft_vehicle_lorry,6,2023
Johor,theft_vehicle_motorcar,35,2016
Johor,theft_vehicle_motorcar,47,2017
Johor,theft_vehicle_motorcar,44,2018
Johor,theft_vehicle_motorcar,41,2019
Johor,theft_vehicle_motorcar,45,2020
Johor,theft_vehicle_motorcar,12,2021
Johor,theft_vehicle_motorcar,15,2022
Johor,theft_vehicle_motorcar,13,2023
Johor,theft_vehicle_motorcycle,292,2016
Johor,theft_vehicle_motorcycle,339,2017
Johor,theft_vehicle_motorcycle,258,2018
Johor,theft_vehicle_motorcycle,235,2019
Johor,theft_vehicle_motorcycle,168,2020
Johor,theft_vehicle_motorcycle,68,2021
Johor,theft_vehicle_motorcycle,84,2022
Johor,theft_vehicle_motorcycle,104,2023
Johor,causing_injury,11,2016
Johor,causing_injury,21,2017
Johor,causing_injury,30,2018
Johor,causing_injury,16,2019
Johor,causing_injury,35,2020
Johor,causing_injury,18,2021
Johor,causing_injury,18,2022
Johor,causing_injury,17,2023
Johor,murder,8,2016
Johor,murder,7,2017
Johor,murder,2,2018
Johor,murder,6,2019
Johor,murder,2,2020
Johor,murder,1,2021
Johor,murder,2,2022
Johor,murder,0,2023
Johor,rape,19,2016
Johor,rape,13,2017
Johor,rape,8,2018
Johor,rape,11,2019
Johor,rape,10,2020
Johor,rape,6,2021
Johor,rape,15,2022
Johor,rape,14,2023
Johor,robbery_gang_armed,0,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,0,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,1,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,50,2016
Johor,robbery_gang_unarmed,33,2017
Johor,robbery_gang_unarmed,21,2018
Johor,robbery_gang_unarmed,27,2019
Johor,robbery_gang_unarmed,13,2020
Johor,robbery_gang_unarmed,5,2021
Johor,robbery_gang_unarmed,4,2022
Johor,robbery_gang_unarmed,6,2023
Johor,robbery_solo_armed,0,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,0,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,21,2016
Johor,robbery_solo_unarmed,15,2017
Johor,robbery_solo_unarmed,6,2018
Johor,robbery_solo_unarmed,10,2019
Johor,robbery_solo_unarmed,11,2020
Johor,robbery_solo_unarmed,7,2021
Johor,robbery_solo_unarmed,1,2022
Johor,robbery_solo_unarmed,4,2023
Johor,break_in,43,2016
Johor,break_in,102,2017
Johor,break_in,108,2018
Johor,break_in,79,2019
Johor,break_in,67,2020
Johor,break_in,49,2021
Johor,break_in,44,2022
Johor,break_in,31,2023
Johor,theft_other,60,2016
Johor,theft_other,98,2017
Johor,theft_other,106,2018
Johor,theft_other,94,2019
Johor,theft_other,84,2020
Johor,theft_other,54,2021
Johor,theft_other,54,2022
Johor,theft_other,76,2023
Johor,theft_vehicle_lorry,9,2016
Johor,theft_vehicle_lorry,17,2017
Johor,theft_vehicle_lorry,13,2018
Johor,theft_vehicle_lorry,10,2019
Johor,theft_vehicle_lorry,10,2020
Johor,theft_vehicle_lorry,1,2021
Johor,theft_vehicle_lorry,3,2022
Johor,theft_vehicle_lorry,4,2023
Johor,theft_vehicle_motorcar,45,2016
Johor,theft_vehicle_motorcar,46,2017
Johor,theft_vehicle_motorcar,48,2018
Johor,theft_vehicle_motorcar,32,2019
Johor,theft_vehicle_motorcar,33,2020
Johor,theft_vehicle_motorcar,11,2021
Johor,theft_vehicle_motorcar,15,2022
Johor,theft_vehicle_motorcar,24,2023
Johor,theft_vehicle_motorcycle,299,2016
Johor,theft_vehicle_motorcycle,231,2017
Johor,theft_vehicle_motorcycle,200,2018
Johor,theft_vehicle_motorcycle,186,2019
Johor,theft_vehicle_motorcycle,174,2020
Johor,theft_vehicle_motorcycle,71,2021
Johor,theft_vehicle_motorcycle,53,2022
Johor,theft_vehicle_motorcycle,74,2023
Johor,causing_injury,47,2016
Johor,causing_injury,53,2017
Johor,causing_injury,47,2018
Johor,causing_injury,43,2019
Johor,causing_injury,11,2020
Johor,causing_injury,18,2021
Johor,causing_injury,21,2022
Johor,causing_injury,25,2023
Johor,murder,7,2016
Johor,murder,6,2017
Johor,murder,7,2018
Johor,murder,1,2019
Johor,murder,7,2020
Johor,murder,5,2021
Johor,murder,1,2022
Johor,murder,2,2023
Johor,rape,4,2016
Johor,rape,11,2017
Johor,rape,20,2018
Johor,rape,9,2019
Johor,rape,8,2020
Johor,rape,9,2021
Johor,rape,13,2022
Johor,rape,8,2023
Johor,robbery_gang_armed,0,2016
Johor,robbery_gang_armed,0,2017
Johor,robbery_gang_armed,0,2018
Johor,robbery_gang_armed,0,2019
Johor,robbery_gang_armed,0,2020
Johor,robbery_gang_armed,0,2021
Johor,robbery_gang_armed,0,2022
Johor,robbery_gang_armed,0,2023
Johor,robbery_gang_unarmed,76,2016
Johor,robbery_gang_unarmed,75,2017
Johor,robbery_gang_unarmed,88,2018
Johor,robbery_gang_unarmed,53,2019
Johor,robbery_gang_unarmed,10,2020
Johor,robbery_gang_unarmed,29,2021
Johor,robbery_gang_unarmed,31,2022
Johor,robbery_gang_unarmed,43,2023
Johor,robbery_solo_armed,0,2016
Johor,robbery_solo_armed,0,2017
Johor,robbery_solo_armed,0,2018
Johor,robbery_solo_armed,0,2019
Johor,robbery_solo_armed,0,2020
Johor,robbery_solo_armed,0,2021
Johor,robbery_solo_armed,0,2022
Johor,robbery_solo_armed,0,2023
Johor,robbery_solo_unarmed,22,2016
Johor,robbery_solo_unarmed,64,2017
Johor,robbery_solo_unarmed,40,2018
Johor,robbery_solo_unarmed,37,2019
Johor,robbery_solo_unarmed,42,2020
Johor,robbery_solo_unarmed,5,2021
Johor,robbery_solo_unarmed,13,2022
Johor,robbery_solo_unarmed,8,2023
Johor,break_in,163,2016
Johor,break_in,134,2017
Johor,break_in,136,2018
Johor,break_in,112,2019
Johor,break_in,57,2020
Johor,break_in,46,2021
Johor,break_in,46,2022
Johor,break_in,61,2023
Johor,theft_other,166,2016
Johor,theft_other,168,2017
Johor,theft_other,178,2018
Johor,theft_other,188,2019
Johor,theft_other,76,2016
Johor,theft_other,68,2017
Johor,theft_other,62,2018
Johor,theft_other,58,2019
Johor,theft_vehicle_lorry,39,2020
Johor,theft_vehicle_lorry,26,2021
Johor,theft_vehicle_lorry,21,2022
Johor,theft_vehicle_lorry,19,2023
Johor,theft_vehicle_lorry,12,2020
Johor,theft_vehicle_lorry,11,2021
Johor,theft_vehicle_lorry,9,2022
Johor,theft_vehicle_lorry,8,2023
Johor,theft_vehicle_motorcar,58,2016
Johor,theft_vehicle_motorcar,49,2017
Johor,theft_vehicle_motorcar,40,2018
Johor,theft_vehicle_motorcar,44,2019
Johor,theft_vehicle_motorcar,39,2020
Johor,theft_vehicle_motorcar,28,2021
Johor,theft_vehicle_motorcar,28,2022
Johor,theft_vehicle_motorcar,26,2023
Johor,theft_vehicle_motorcycle,191,2016
Johor,theft_vehicle_motorcycle,186,2017
Johor,theft_vehicle_motorcycle,172,2018
Johor,theft_vehicle_motorcycle,180,2019
Johor,theft_vehicle_motorcycle,113,2020
Johor,theft_vehicle_motorcycle,61,2021
Johor,theft_vehicle_motorcycle,71,2022
Johor,theft_vehicle_motorcycle,58,2023
Johor,causing_injury,17,2016
Johor,causing_injury,10,2017
Johor,causing_injury,13,2018
Johor,causing_injury,7,2019
Johor,causing_injury,10,2020
Johor,causing_injury,4,2021
Johor,causing_injury,11,2022
Johor,causing_injury,3,2023
Johor,murder,1,2016
Johor,murder,1,2017
Johor,murder,2,2018
Johor,murder,0,2019
Johor,murder,0,2020
Johor,murder,1,2021
Johor,murder,0,2022
Johor,murder,2,2023
Johor,rape,12,2016
Johor,rape,8,2017
Johor,rape,13,2018
Johor,rape,2,2019
Johor,rape,8,2020
Johor,rape,1,2021
Johor,rape,5,2022
Johor,rape,5,2023
Johor,robbery_gang_armed,0,2016
Johor,robbery_gang_armed,0,2017
